credit_id,client_id,montant_demande_fcfa,duree_mois,nb_transactions_30j,a_fait_defaut,nom,ville,age,metier,revenu_mensuel_fcfa,anciennete_mobile_money_mois,operateur_principal,nb_transactions_total,montant_total_fcfa,montant_moyen_fcfa,montant_max_fcfa,montant_std_fcfa,nb_types_distincts,nb_operateurs_distincts,jours_depuis_derniere_trans,nb_achat_credit,nb_depot,nb_paiement_facture,nb_retrait,nb_transfert
18,26,105128,9,42,0,Gabriel David,Franceville,64,Petit éleveur,43709,14,gimac,42,373207,8885.880952380952,17406,4838.621020055806,5,1,1,12,4,9,7,10
19,27,95943,12,69,0,Noémi Royer,Mouila,30,Artisan(e),86629,52,airtel,69,1056129,15306.217391304348,34105,9066.981704594855,5,1,2,13,14,11,12,19
20,28,168972,3,38,0,Franck Duhamel,Tchibanga,64,Commerçant(e),127189,27,gimac,38,932889,24549.71052631579,50371,15194.255708509116,5,1,1,9,9,9,6,5
21,29,314314,6,36,1,Frédérique Bègue,Mouila,64,Coiffeur(se),154264,4,airtel,36,1105161,30698.916666666668,56822,15558.932167499708,5,1,4,7,7,3,11,8
22,30,121833,9,29,0,Nicole Weiss,Franceville,45,Chauffeur de taxi,71719,29,moov,29,410197,14144.724137931034,27658,7865.99994958661,5,1,36,9,6,6,6,2
23,31,133680,3,44,1,Claire Aubry,Tchibanga,53,Artisan(e),72658,5,airtel,44,689265,15665.113636363636,28950,8639.767789235006,5,1,1,10,11,6,7,10
24,32,180672,3,41,1,Gérard Vallet,Port-Gentil,33,Chauffeur de taxi,138812,1,moov,41,1114892,27192.48780487805,53549,13784.980780040918,5,1,13,7,6,4,10,14
25,33,234376,9,40,0,Julie Letellier-Mary,Libreville,28,Mécanicien(ne),96877,26,airtel,40,676700,16917.5,36329,11634.252193525983,5,1,1,7,6,8,9,10
26,34,421364,12,22,0,Noémi Étienne,Tchibanga,27,Couturier(ère),168808,28,moov,22,897297,40786.22727272727,66308,15502.534732628843,5,1,5,5,7,2,5,3
27,35,301632,3,51,0,Daniel Grégoire-Teixeira,Libreville,21,Petit éleveur,127822,21,moov,51,1382138,27100.745098039217,51070,14688.648731375037,5,1,3,10,9,14,5,13
28,36,65871,12,45,0,André Masson,Libreville,50,Artisan(e),100701,11,airtel,45,900088,20001.955555555556,38697,10439.287815214642,5,1,8,7,3,13,11,11
29,39,40604,6,24,1,Suzanne Evrard,Franceville,60,Vendeur(se) au marché,132229,26,moov,24,582963,24290.125,51676,13243.067811902656,5,1,9,6,9,2,2,5
30,40,93473,3,33,1,Robert-Aimé Bazin,Libreville,47,Petit éleveur,46049,5,gimac,33,288411,8739.727272727272,18345,4902.497228917672,5,1,0,7,5,7,9,5
31,42,155612,3,35,1,Tristan-Jean Marie,Moanda,57,Agriculteur(trice),66574,35,airtel,35,494315,14123.285714285714,25465,7048.159516003112,5,1,5,5,4,8,11,7
32,43,277998,6,35,0,Martin Barbier du Bernard,Port-Gentil,26,Vendeur(se) au marché,145500,60,airtel,35,1093551,31244.314285714285,55906,13681.362807873793,5,1,2,13,10,5,3,4
33,44,67075,9,21,1,Philippe-Emmanuel Guillou,Lambaréné,31,Vendeur(se) au marché,60247,14,gimac,21,244866,11660.285714285714,22437,5867.579877111663,5,1,1,5,8,3,2,3
34,46,25000,6,19,0,Élodie de la Besson,Moanda,28,Restaurateur(trice),48817,9,gimac,19,209583,11030.684210526315,19443,5672.4852974946,5,1,1,4,6,2,4,3
35,48,113298,3,60,0,Adélaïde Le Camus,Franceville,45,Chauffeur de taxi,46299,36,airtel,60,578437,9640.616666666667,18383,4695.7829299427,5,1,13,12,11,14,8,15
36,49,237094,9,14,0,Bertrand Étienne,Port-Gentil,40,Agriculteur(trice),166013,16,moov,14,576145,41153.21428571428,66131,16639.92733054847,4,1,12,5,4,3,0,2
37,51,123572,12,69,0,Augustin Foucher,Mouila,60,Couturier(ère),142147,60,moov,69,1988969,28825.63768115942,56842,17741.793544498767,5,1,4,14,14,14,14,13
38,52,46959,9,28,0,Antoinette Samson,Libreville,48,Couturier(ère),30506,25,airtel,28,159679,5702.821428571428,12163,3462.1413845958427,5,1,2,3,4,8,5,8
39,54,37994,9,69,1,Danielle Aubry,Port-Gentil,35,Coiffeur(se),61683,56,gimac,69,906087,13131.695652173914,24660,6490.195837488373,5,1,3,14,11,15,16,13
40,55,199498,9,39,0,Pauline de la Gimenez,Lambaréné,19,Artisan(e),101743,54,moov,39,776142,19901.076923076922,40001,11743.737720667208,5,1,0,11,7,2,9,10
41,57,251745,6,57,1,Sabine Blondel,Oyem,34,Commerçant(e),123470,25,gimac,57,1455044,25527.087719298244,49347,13970.634510184853,5,1,0,18,9,11,11,8
42,58,178850,9,54,0,Célina Hoarau,Oyem,41,Mécanicien(ne),86068,52,airtel,54,988158,18299.222222222223,34194,9034.830141487697,5,1,4,10,10,11,15,8
43,60,25661,9,34,0,Henriette-Geneviève Robert,Franceville,30,Mécanicien(ne),84306,19,gimac,34,608165,17887.20588235294,32990,10761.561489096304,5,1,0,4,10,4,9,7
44,61,655102,9,35,0,Thomas Lopez,Mouila,53,Commerçant(e),290210,20,moov,35,2286390,65325.42857142857,99670,30717.271597095794,5,1,5,11,5,6,8,5
45,63,316235,3,30,0,Pierre Gomez,Franceville,60,Artisan(e),142888,51,moov,30,745515,24850.5,53904,15288.346198984376,5,1,13,5,7,4,7,7
46,65,309682,12,43,1,Christelle Ramos-Masse,Oyem,48,Petit éleveur,142926,3,airtel,43,1308649,30433.697674418603,56654,14817.30694240592,5,1,1,11,7,8,10,7
47,66,109565,12,23,0,Thérèse-Jacqueline Reynaud,Oyem,63,Mécanicien(ne),65970,37,moov,23,315709,13726.478260869566,25159,7011.681401707537,5,1,22,6,8,7,1,1
48,67,122383,12,42,1,Élisabeth Gauthier,Libreville,24,Mécanicien(ne),87450,45,airtel,42,720409,17152.595238095237,34448,9259.156941708909,5,1,1,10,6,5,12,9
49,68,140991,6,43,1,Vincent Perret,Port-Gentil,47,Chauffeur de taxi,100655,16,moov,43,908804,21134.976744186046,37462,9516.387631189964,5,1,7,5,6,14,11,7
50,69,409560,6,70,0,Pauline Bouchet,Tchibanga,57,Agriculteur(trice),705435,58,moov,70,5952717,85038.81428571428,99670,25243.98892908898,5,1,4,16,10,14,19,11
51,72,134844,3,63,0,Catherine Menard,Moanda,33,Vendeur(se) au marché,61134,46,moov,63,789115,12525.63492063492,24179,6564.658238166108,5,1,0,15,11,14,14,9
52,73,58626,6,48,1,Étienne du Joly,Franceville,32,Mécanicien(ne),65936,9,gimac,48,660747,13765.5625,26321,7280.042690154963,5,1,3,7,13,12,5,11
53,78,25000,3,26,0,Émile Cordier-Vallée,Franceville,47,Chauffeur de taxi,58355,26,gimac,26,285444,10978.615384615385,20846,5798.945401204761,5,1,5,3,5,5,9,4
54,79,73199,12,31,0,Frédérique Maréchal,Libreville,23,Mécanicien(ne),143974,38,airtel,31,867892,27996.516129032258,56736,13326.087547541145,5,1,12,6,4,4,9,8
55,80,79768,3,53,0,Émile Gillet,Mouila,38,Couturier(ère),156602,17,moov,53,1675362,31610.603773584906,57300,15510.952057943821,5,1,1,5,16,11,7,14
56,81,63760,12,40,1,Léon Aubry,Moanda,44,Vendeur(se) au marché,46795,25,airtel,40,401638,10040.95,18179,5044.977786792601,5,1,2,4,11,8,9,8
57,82,146150,9,40,0,Louise Briand,Lambaréné,32,Artisan(e),87397,4,gimac,40,738644,18466.1,33642,9616.116919272987,5,1,0,10,11,5,5,9
58,83,70440,3,25,0,Véronique Meyer-Aubert,Franceville,33,Chauffeur de taxi,30000,40,moov,25,181697,7267.88,11922,3214.6736267725014,5,1,16,4,3,4,3,11
59,84,82053,3,23,0,Franck Boyer de Letellier,Tchibanga,62,Vendeur(se) au marché,147271,14,moov,23,696563,30285.347826086956,53158,12962.066461966118,5,1,0,6,1,5,7,4
60,86,242047,12,37,0,Valentine-Camille Laporte,Mouila,43,Couturier(ère),308326,37,airtel,37,2359603,63773.05405405405,99670,31309.233108307373,5,1,12,8,7,5,9,8
61,87,192339,12,24,0,Antoine Grégoire,Port-Gentil,62,Vendeur(se) au marché,172735,16,gimac,24,1162336,48430.666666666664,67892,16968.96602795736,5,1,3,3,4,7,5,5
62,88,158137,3,51,0,Éric Muller,Libreville,40,Agriculteur(trice),111033,37,moov,51,1195744,23445.960784313724,42745,11606.83222065484,5,1,0,8,5,10,13,15
63,89,232321,12,63,0,Antoinette Parent de la Antoine,Lambaréné,18,Mécanicien(ne),118015,42,moov,63,1458964,23158.15873015873,45754,12920.788578508951,5,1,1,11,12,15,11,14
64,91,181701,9,44,0,Alice-Audrey Humbert,Tchibanga,47,Mécanicien(ne),105244,40,gimac,44,842070,19137.954545454544,40853,11947.422847441214,5,1,1,6,7,11,14,6
65,92,111097,6,23,0,Margaux-Josette Martins,Port-Gentil,35,Restaurateur(trice),113601,16,airtel,23,540604,23504.521739130436,43072,10646.806622685957,5,1,4,6,7,4,4,2
66,93,355900,12,57,1,Isabelle Aubry,Mouila,39,Commerçant(e),179758,43,moov,57,2114624,37098.666666666664,71731,20038.019736894927,5,1,4,13,16,10,9,9
67,94,210941,9,44,0,Christelle Leconte,Lambaréné,34,Coiffeur(se),153511,14,moov,44,1493280,33938.181818181816,60404,16424.49208343234,5,1,5,12,8,8,5,11
68,95,547572,3,41,0,Michel Gomes de Petit,Libreville,51,Couturier(ère),365882,18,airtel,41,2877491,70182.70731707317,99670,28201.795400509433,5,1,2,5,9,5,11,11
69,96,51120,6,63,0,Capucine Legrand,Oyem,62,Restaurateur(trice),63037,36,gimac,63,899409,14276.333333333334,25014,7284.9782119363335,5,1,1,13,13,18,10,9
70,97,46926,6,16,0,Frédérique Guillou-Aubry,Port-Gentil,36,Couturier(ère),146553,2,moov,16,478412,29900.75,57696,18124.73345643093,5,1,12,3,2,6,3,2
71,98,114473,12,33,1,Jérôme Muller,Lambaréné,48,Agriculteur(trice),131207,38,gimac,33,1010085,30608.636363636364,51929,13268.473213830457,5,1,3,7,6,8,6,6
72,99,227923,9,57,0,Julien Jacquet-Barbier,Moanda,37,Vendeur(se) au marché,106939,30,airtel,57,1169955,20525.526315789473,42294,12335.226720808963,5,1,3,14,17,4,11,11
73,101,160838,3,68,0,Adrienne Le Dupré,Moanda,24,Couturier(ère),93054,49,moov,68,1446568,21273.058823529413,37107,11094.729127581197,5,1,0,13,15,16,13,11
74,102,105410,12,10,0,Daniel Aubry,Franceville,35,Commerçant(e),70133,1,airtel,10,169606,16960.6,25893,8921.21003501705,5,1,2,1,3,1,2,3
75,103,261939,12,30,0,Bernard Bernier,Tchibanga,24,Commerçant(e),118363,9,gimac,30,719721,23990.7,46917,15110.740628942462,5,1,3,7,7,5,5,6
76,104,107219,12,29,0,Colette Maillard-Carre,Franceville,21,Vendeur(se) au marché,64483,22,moov,29,326662,11264.206896551725,24017,6910.1713353748655,5,1,1,7,3,4,7,8
77,106,41141,12,35,1,Philippe-Patrick Deschamps,Oyem,51,Mécanicien(ne),54912,27,moov,35,377972,10799.2,21638,6496.001103846616,5,1,10,10,9,1,8,7
78,108,133533,9,29,0,Laure Bertrand,Franceville,33,Chauffeur de taxi,117676,6,gimac,29,728983,25137.344827586207,46967,13897.326418816427,5,1,3,4,4,10,6,5
79,110,26061,12,23,1,Timothée Charles,Oyem,34,Petit éleveur,30000,5,gimac,23,165136,7179.826086956522,11919,3766.424065490597,5,1,3,4,5,3,8,3
80,111,75361,6,34,0,Matthieu Courtois,Oyem,59,Chauffeur de taxi,145794,8,moov,34,926130,27239.117647058825,57009,14547.480354082161,5,1,9,8,6,7,6,7
81,115,514941,12,58,0,Claudine Perret-Rodriguez,Moanda,54,Commerçant(e),475825,49,airtel,58,4396871,75808.12068965517,99670,31166.066765261818,5,1,5,9,12,6,17,14
82,116,169144,9,68,0,Honoré Marchal,Moanda,29,Petit éleveur,90478,59,moov,68,1335596,19641.117647058825,35948,10082.511675542217,5,1,0,18,16,7,12,15
83,117,82437,3,15,0,Joseph Lacroix,Tchibanga,40,Mécanicien(ne),129696,6,moov,15,495978,33065.2,50396,11934.947831593448,5,1,24,4,3,1,4,3
84,120,148185,6,52,1,Georges Goncalves,Mouila,50,Commerçant(e),73992,50,gimac,52,780327,15006.288461538461,29229,7480.4275261499515,5,1,2,8,6,10,11,17
85,121,271419,6,41,0,Lucas Laurent,Oyem,51,Coiffeur(se),200116,4,gimac,41,1636111,39905.14634146341,79659,22412.980430501626,5,1,10,7,11,8,4,11
86,122,209527,3,67,0,Jacques Bouchet,Libreville,31,Vendeur(se) au marché,199718,49,gimac,67,2705062,40374.05970149254,79824,22227.48481448587,5,1,0,13,12,17,15,10
87,123,102553,12,70,0,Grégoire Leroux-Boutin,Tchibanga,25,Commerçant(e),57904,57,gimac,70,829643,11852.042857142857,23015,7015.457108942512,5,1,3,15,18,10,14,13
88,124,81261,3,10,1,Laurent Morel,Moanda,53,Commerçant(e),114383,11,gimac,10,244442,24444.2,44741,12409.190176818325,4,1,12,0,2,2,3,3
89,125,112933,12,49,0,Geneviève Bourgeois,Port-Gentil,47,Artisan(e),87364,54,gimac,49,872471,17805.530612244896,33799,9276.316034445916,5,1,0,7,15,6,10,11
90,126,76767,6,36,1,Marine Schneider,Moanda,50,Vendeur(se) au marché,195154,46,moov,36,1396745,38798.47222222222,77746,22194.516591119802,5,1,0,10,6,9,10,1
91,129,140367,9,38,0,Guillaume Marty,Tchibanga,27,Restaurateur(trice),71777,38,gimac,38,626856,16496.21052631579,28415,7835.425255048622,5,1,2,8,8,6,10,6
92,131,43324,12,46,1,Gilles Colin,Libreville,38,Restaurateur(trice),42761,27,gimac,46,412207,8961.021739130434,17021,4623.407908502752,5,1,1,10,6,10,11,9
93,133,231996,12,36,0,Renée Barre Le Nguyen,Port-Gentil,46,Artisan(e),99285,56,gimac,36,531461,14762.805555555555,34169,9700.493082664685,5,1,6,6,7,7,11,5
94,134,189842,3,59,1,Dominique Ferreira du Verdier,Mouila,59,Artisan(e),146425,40,moov,59,1680555,28483.98305084746,57048,16138.066136859114,5,1,0,16,9,13,11,10
95,135,165093,3,44,1,Gilbert de Neveu,Tchibanga,52,Commerçant(e),82393,46,gimac,44,750560,17058.18181818182,32164,8477.786251941907,5,1,2,13,6,11,9,5
96,137,74203,9,46,0,Élodie Marchal-Perret,Lambaréné,45,Chauffeur de taxi,81509,23,airtel,46,802490,17445.434782608696,30450,8479.7597703189,5,1,0,9,10,9,6,12
97,138,43066,6,32,0,Xavier Rémy,Franceville,28,Chauffeur de taxi,106287,51,airtel,32,605526,18922.6875,36802,10645.724410380637,5,1,1,4,7,7,8,6
98,140,25000,9,58,0,Philippe Ruiz du Millet,Moanda,60,Commerçant(e),46106,30,moov,58,600893,10360.224137931034,18227,5315.152537109398,5,1,1,8,15,10,13,12
99,141,64045,12,20,0,Lucie Lenoir,Moanda,58,Mécanicien(ne),52543,23,gimac,20,204212,10210.6,18924,4966.260632879048,5,1,0,3,5,3,2,7
100,142,146320,3,21,0,Étienne De Oliveira,Port-Gentil,33,Mécanicien(ne),59684,31,gimac,21,304957,14521.761904761905,23543,7166.531022082873,5,1,3,3,5,5,3,5
101,143,160404,6,41,0,Diane Chauvet,Moanda,19,Mécanicien(ne),80323,45,moov,41,670991,16365.634146341463,32062,9319.4669878596,5,1,0,4,11,9,12,5
102,144,164166,12,60,0,Madeleine-Océane Lévy,Lambaréné,32,Couturier(ère),142722,52,gimac,60,1661341,27689.016666666666,56084,15755.067641541498,5,1,3,14,15,13,11,7
103,146,289789,12,49,0,Martin Le Turpin,Libreville,55,Coiffeur(se),122757,29,gimac,49,1378530,28133.26530612245,47953,12775.600380177031,5,1,1,7,8,10,9,15
104,147,25000,6,26,0,Simone Parent,Franceville,52,Coiffeur(se),72754,13,gimac,26,384277,14779.884615384615,26360,7988.51668497687,5,1,0,4,3,8,7,4
105,148,89999,3,36,1,Pierre du Guyon,Moanda,48,Vendeur(se) au marché,98966,11,gimac,36,752237,20895.472222222223,39129,10779.427510603206,5,1,0,5,7,9,8,7
106,149,204819,3,41,0,Vincent Clément,Oyem,61,Mécanicien(ne),95296,49,gimac,41,880242,21469.317073170732,37554,9592.562716602442,5,1,0,7,6,5,8,15
107,150,75158,3,45,1,Pierre Dupré Le Morin,Moanda,52,Artisan(e),51018,1,moov,45,511400,11364.444444444445,19456,5703.574722589477,5,1,3,6,8,9,9,13
108,152,209400,9,28,1,David de Lambert,Lambaréné,57,Couturier(ère),138759,40,gimac,28,855317,30547.035714285714,54024,14379.513839415313,5,1,0,6,5,3,10,4
109,153,65933,9,40,0,Noël Bourdon-Lecoq,Port-Gentil,26,Commerçant(e),180570,27,airtel,40,1295697,32392.425,63208,16240.993180264877,5,1,3,7,6,9,10,8
110,154,122336,3,12,0,Michel Legros,Oyem,52,Chauffeur de taxi,66377,7,moov,12,183976,15331.333333333334,25089,8061.74956573361,4,1,36,0,5,1,3,3
111,156,255655,6,47,0,Jacqueline Caron,Mouila,35,Commerçant(e),257519,40,gimac,47,2502016,53234.382978723406,95548,24523.509711892162,5,1,4,13,6,6,10,12
112,157,143754,6,37,0,Bernard Merle,Lambaréné,24,Coiffeur(se),77697,16,gimac,37,569988,15405.081081081082,30465,9155.761766287991,5,1,2,6,8,11,5,7
113,158,370931,9,17,1,Geneviève Schmitt,Mouila,35,Couturier(ère),316204,4,airtel,17,987709,58100.529411764706,99670,35664.9947079024,5,1,9,1,4,3,5,4
114,160,261785,12,62,0,Charles Pineau-Lucas,Oyem,39,Chauffeur de taxi,112972,53,gimac,62,1345275,21697.983870967742,44990,11617.174844186145,5,1,0,12,19,9,9,13
115,161,55043,12,52,0,Margaud Faivre,Franceville,25,Commerçant(e),64836,17,airtel,52,690754,13283.73076923077,25854,6752.801722438184,5,1,1,10,9,11,11,11
116,162,164923,12,45,0,Claude Launay,Moanda,21,Chauffeur de taxi,66243,12,gimac,45,585762,13016.933333333332,25737,7741.268692709694,5,1,0,11,6,11,10,7
117,163,32281,3,47,0,Sophie Leroux-Bernier,Tchibanga,46,Coiffeur(se),90058,5,gimac,47,797536,16968.85106382979,35027,9951.903800778247,5,1,5,8,5,5,17,12
118,165,26242,9,31,1,Timothée Baron-Gosselin,Tchibanga,43,Mécanicien(ne),30000,4,gimac,31,237431,7659.064516129032,11395,3237.892966477674,5,1,5,3,10,8,4,6
119,167,173375,3,61,0,Astrid Delannoy,Lambaréné,42,Petit éleveur,134405,46,gimac,61,1717518,28156.032786885247,53068,16449.745799421147,5,1,1,13,7,11,15,15
120,168,147297,3,28,1,Georges Maillard Le Julien,Port-Gentil,62,Artisan(e),64410,28,gimac,28,404711,14453.964285714286,25482,6581.617905799189,5,1,3,6,7,3,5,7
121,169,184355,3,54,0,Audrey Dos Santos-Fernandes,Oyem,45,Restaurateur(trice),193370,47,airtel,54,2309761,42773.351851851854,77252,22743.39442327667,5,1,1,11,13,12,8,10
122,171,148760,3,52,1,Arthur du Cordier,Franceville,61,Restaurateur(trice),78818,24,airtel,52,759972,14614.846153846154,31311,8151.1787825132815,5,1,1,14,10,11,9,8
123,172,58028,9,23,0,Suzanne Legros,Franceville,53,Commerçant(e),75016,24,gimac,23,392770,17076.956521739132,28645,7544.602082875731,5,1,7,5,6,3,4,5
124,173,284612,3,44,0,François De Oliveira,Port-Gentil,44,Coiffeur(se),288459,43,gimac,44,2324299,52824.97727272727,99670,27445.225270750867,5,1,0,11,10,5,14,4
125,174,94327,9,56,0,Aimée Salmon,Libreville,36,Petit éleveur,216825,59,moov,56,2273411,40596.625,83971,23260.407335261192,5,1,2,11,13,9,10,13
126,176,84844,12,27,0,Lucy Chrétien,Lambaréné,25,Vendeur(se) au marché,171104,36,gimac,27,1076829,39882.555555555555,67863,16250.991882943244,5,1,11,2,4,8,10,3
127,177,123967,6,29,0,Paulette Tanguy,Libreville,56,Vendeur(se) au marché,60250,36,airtel,29,376753,12991.48275862069,22265,6364.575648634566,5,1,8,3,8,5,8,5
128,178,28921,12,38,0,Geneviève Coulon-Vasseur,Lambaréné,40,Commerçant(e),32647,20,airtel,38,253126,6661.210526315789,12930,3508.3792451007585,5,1,1,3,4,11,10,10
129,179,99370,6,36,0,Martin-Patrick Leroy,Port-Gentil,27,Commerçant(e),237483,26,airtel,36,1914253,53173.694444444445,93973,23618.339560385753,5,1,0,9,7,6,5,9
130,180,222044,6,54,0,Maggie Laroche,Tchibanga,39,Chauffeur de taxi,136320,27,moov,54,1515378,28062.555555555555,52611,13647.756587593942,5,1,5,15,9,14,10,6
131,182,37604,9,53,1,Thierry Joubert,Tchibanga,56,Restaurateur(trice),45552,28,moov,53,495651,9351.905660377359,18095,5008.64816424917,5,1,0,7,12,11,10,13
132,184,318397,9,23,1,Alexandrie-Aurélie Weiss,Moanda,20,Couturier(ère),154951,34,moov,23,854961,37172.217391304344,60786,19896.144870886925,5,1,7,4,4,7,4,4
133,185,599906,12,42,0,Christiane Pinto,Lambaréné,25,Commerçant(e),317059,19,moov,42,2990956,71213.23809523809,99670,27755.882391964453,5,1,0,6,6,9,7,14
134,186,257442,3,44,0,André Bertin,Oyem,50,Agriculteur(trice),134382,25,gimac,44,1258325,28598.295454545456,52788,13902.03220643716,5,1,1,7,9,8,9,11
135,188,25000,12,28,0,Marguerite Marques,Tchibanga,62,Coiffeur(se),39821,40,airtel,28,193361,6905.75,15884,4262.3513474676465,5,1,28,6,4,9,2,7
136,189,40660,3,26,0,Laurence Chrétien,Mouila,51,Artisan(e),91779,28,moov,26,570028,21924.153846153848,36706,9819.094046569908,5,1,9,7,5,5,6,3
137,190,25000,12,29,0,Jeannine Faure,Port-Gentil,51,Agriculteur(trice),30000,5,airtel,29,214692,7403.172413793103,11734,3571.375476009264,5,1,1,6,4,8,5,6
138,191,338394,12,56,1,Agnès Bouvet,Franceville,33,Artisan(e),187622,47,airtel,56,2372660,42368.92857142857,74583,21469.548844696412,5,1,0,17,11,11,8,9
139,192,65785,3,18,0,Anastasie Marty-Hubert,Port-Gentil,29,Restaurateur(trice),72844,10,moov,18,246115,13673.055555555555,27825,8787.221641292692,5,1,0,3,5,4,2,4
140,193,438211,12,42,0,Victor Fournier,Lambaréné,58,Coiffeur(se),293817,29,airtel,42,2504664,59634.857142857145,99670,29649.28894682408,5,1,1,16,4,10,4,8
141,194,58503,3,38,0,Gérard Bourgeois,Moanda,35,Petit éleveur,87838,41,airtel,38,704985,18552.236842105263,34028,9696.15896487467,5,1,2,11,6,1,14,6
142,195,42416,3,20,0,Thierry Brunet,Tchibanga,20,Commerçant(e),83733,30,moov,20,359171,17958.55,31947,8938.56646033297,5,1,1,7,3,4,2,4
143,196,119331,6,31,0,Christophe Reynaud-Laroche,Libreville,46,Petit éleveur,125511,30,gimac,31,767553,24759.774193548386,47931,13350.414594585136,5,1,14,7,9,7,5,3
144,198,64897,12,64,0,Joséphine Gosselin,Tchibanga,46,Agriculteur(trice),115443,46,gimac,64,1348885,21076.328125,43812,11831.393834423236,5,1,2,9,13,7,25,10
145,200,254794,9,59,0,Céline Merle de la Langlois,Lambaréné,22,Coiffeur(se),119888,41,airtel,59,1483518,25144.372881355932,47660,12830.651990983728,5,1,3,15,13,9,13,9
146,201,147187,3,14,1,Stéphane Michel,Franceville,39,Artisan(e),108799,17,gimac,14,308518,22037.0,43121,13220.140735896994,4,1,4,4,0,3,4,3
147,202,135365,12,44,1,Sébastien Labbé du Chauvin,Mouila,26,Petit éleveur,55942,43,gimac,44,479314,10893.5,20710,6028.571786973899,5,1,3,5,15,7,9,8
148,204,157927,12,42,1,Zacharie Brunel de Moreno,Libreville,41,Vendeur(se) au marché,128114,24,airtel,42,1223962,29141.95238095238,50890,15220.536764920982,5,1,1,10,10,5,9,8
149,205,319662,3,37,0,Jérôme Rossi,Tchibanga,30,Couturier(ère),199881,50,airtel,37,1742358,47090.75675675676,78855,22871.170036879532,5,1,5,7,9,7,7,7
150,206,104911,6,63,0,Michèle Muller,Port-Gentil,50,Agriculteur(trice),59613,51,gimac,63,794649,12613.47619047619,22890,6944.699229087498,5,1,1,11,8,15,12,17
151,207,39930,3,42,0,Marianne de De Oliveira,Mouila,27,Chauffeur de taxi,48098,9,airtel,42,414467,9868.261904761905,18884,5250.747403521381,5,1,1,7,9,9,11,6
